"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"19","656","33","1896","-24","6112","-163","0","27","2968","66","2200","-179","0","-34","7896","-167","16","-12","0","2","1920","-21","6488","5","7072","-123","4336","24","0","24","0","?","0","63","8"
"7","656","24","1896","-46","6112","-172","0","19","2968","57","2200","-184","0","-45","7896","-169","16","-14","6336","-11","1920","-34","6488","-4","7072","-123","4336","24","0","24","0","?","0","63","8"
"-4","656","38","1896","-33","6112","-165","0","12","2968","49","2200","-176","0","-11","7896","-158","16","-14","6336","30","1920","-7","6488","-37","7072","-109","4336","24","0","24","0","?","0","63","8"
"12","656","69","1896","1","6112","-161","0","28","2968","58","2200","-185","0","13","7896","-177","24","-2","6336","55","1920","42","6488","15","7072","-112","4336","23","0","24","0","?","0","63","8"
"39","656","70","1888","0","6112","-163","0","47","2968","72","2200","-186","0","-28","7896","-152","24","9","6336","38","1920","25","6488","68","7072","-104","4336","23","0","24","0","?","0","63","8"
"42","656","63","1888","-14","6112","-161","0","40","2968","88","2200","-180","0","-31","7896","-155","24","15","6336","37","1920","3","6488","35","7072","-110","4336","23","0","24","0","?","0","81","6360"
"36","656","78","1888","17","6112","-156","0","33","2968","92","2200","-172","0","48","7896","-169","24","27","6336","54","1920","61","6488","30","7072","-109","4336","23","0","24","0","?","0","82","2192"
"48","656","99","1888","18","6112","-160","0","71","2968","90","2200","-168","0","86","7896","-149","24","37","6336","65","1920","116","6488","29","7072","-88","4336","23","0","24","0","?","0","83","8"
"62","656","115","1888","-10","6112","-162","0","117","2968","118","2200","-174","0","80","7896","-164","24","38","6336","74","1920","94","6488","11","7072","-92","4336","23","0","24","0","?","0","84","1912"
"78","656","129","1888","48","6112","-158","0","126","2968","148","2200","-164","0","99","7896","-159","24","50","6336","100","1920","56","6488","71","7072","-84","4336","23","0","24","0","?","0","85","6360"
"79","656","130","1888","111","6112","-159","0","119","2968","140","2200","-167","0","80","7896","-158","24","53","6336","114","1920","43","6488","112","7072","-85","4336","22","0","24","0","?","0","86","2176"
