F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-104.25,-195.5,3.5,-279.25,-156.25,-130.5,-96.0,-163.5,-205.0,-152.5,-66.0,-92.25
-120.5,-121.25,-154.25,-400.0,-592.5,-38.25,-57.25,-43.5,-112.5,-38.0,-109.0,-105.75
-97.0,-144.75,-4.75,-289.25,-101.25,-147.0,-109.0,-145.0,-205.25,-159.25,-95.25,-61.75
-117.25,-111.5,-169.0,-433.75,-576.25,-77.0,-34.0,-21.5,-115.5,-13.5,-111.25,-145.25
-99.0,-152.5,-24.75,-284.25,-96.5,-166.0,-120.75,-134.75,-196.0,-163.0,-98.25,-77.0
-118.0,-102.75,-173.75,-439.5,-569.75,-97.5,-30.5,-31.5,-106.25,-2.5,-97.75,-162.75
-95.0,-133.75,-24.25,-269.75,-68.5,-165.5,-107.0,-124.75,-197.75,-166.75,-103.5,-75.0
-121.0,-123.0,-184.0,-433.75,-581.25,-56.5,-22.25,-25.75,-104.0,5.0,-98.5,-158.75
-83.0,-121.0,-15.25,-279.5,-71.25,-193.75,-123.25,-117.0,-187.75,-191.5,-110.25,-79.0
-128.75,-148.5,-190.0,-377.0,-610.5,-26.0,-22.25,-49.75,-114.0,12.25,-88.5,-133.0
-82.75,-103.75,-2.5,-260.0,-37.0,-167.5,-116.75,-102.75,-182.75,-178.0,-103.0,-69.25
-143.5,-199.75,-200.5,-355.25,-677.0,-35.25,-49.0,-78.0,-133.25,-14.25,-113.75,-134.25
-68.25,-77.5,-3.0,-240.5,-28.25,-170.0,-109.75,-90.5,-167.0,-174.25,-84.5,-58.5
-154.0,-217.25,-206.25,-351.25,-668.0,-15.0,-55.25,-84.25,-127.0,-24.75,-103.25,-125.5
-80.75,-79.5,-5.5,-226.25,-41.25,-158.75,-123.0,-104.75,-173.0,-193.75,-85.0,-55.5
-133.75,-236.0,-202.5,-362.75,-711.25,-13.75,-55.5,-59.75,-106.5,-22.0,-94.75,-124.25
-111.0,-101.5,-5.5,-235.25,-67.75,-186.5,-117.5,-148.75,-207.5,-187.5,-83.75,-60.5
-139.0,-240.75,-195.25,-370.75,-747.0,12.0,-59.5,-65.5,-114.5,-18.75,-80.0,-146.5
-83.5,-82.5,0.5,-226.5,-56.5,-184.75,-118.5,-114.25,-167.5,-180.0,-83.25,-43.5
-147.75,-269.5,-213.75,-395.25,-772.5,-7.5,-69.75,-82.75,-156.0,-19.0,-92.75,-148.75
-94.5,-80.75,13.25,-239.25,-66.0,-170.25,-117.75,-131.5,-358.5,-166.0,-74.5,-48.25
-147.0,-240.0,-218.0,-389.0,-749.5,-21.75,-61.5,-49.75,-126.75,-32.25,-90.25,-157.5
-99.0,-83.0,12.75,-250.5,-66.0,-185.0,-113.75,-127.5,-353.75,-132.75,-70.25,-60.5
-167.5,-237.5,-232.5,-396.25,-739.5,-34.0,-62.75,-59.0,-126.0,-49.75,-103.5,-173.75
-79.0,-53.5,21.0,-212.5,-30.5,-149.25,-90.0,-106.75,-312.5,-100.75,-54.0,-45.75
-164.5,-266.25,-237.5,-389.75,-769.75,-34.75,-77.25,-68.0,-125.0,-75.75,-122.5,-172.75
-77.5,-63.0,23.25,-204.5,-45.0,-160.75,-88.5,-119.0,-291.25,-95.75,-52.5,-29.75
-161.75,-248.75,-229.75,-366.75,-751.25,11.0,-102.0,-52.5,-106.0,-84.75,-136.25,-170.75
-83.0,-68.0,21.0,-198.75,-53.0,-178.25,-77.25,-133.0,-296.5,-113.25,-50.25,-16.25
-143.75,-230.25,-206.25,-349.75,-727.25,48.75,-97.0,-31.25,-75.5,-58.75,-116.5,-162.75
-82.25,-70.75,0.0,-236.75,-54.0,-211.25,-89.75,-123.5,-289.25,-133.75,-83.0,-23.75
-140.5,-222.5,-213.5,-339.75,-736.75,18.5,-108.5,-27.25,-60.5,-65.25,-132.25,-162.0
-96.25,-82.5,15.0,-227.5,-46.0,-189.75,-76.25,-148.25,-292.25,-114.5,-67.75,-47.0
-145.5,-211.0,-221.25,-352.0,-725.0,8.25,-110.25,-42.0,-63.5,-79.0,-153.0,-163.75
-76.75,-50.5,12.5,-222.75,-9.0,-212.75,-75.5,-109.75,-254.75,-111.0,-85.0,-44.0
-144.0,-211.5,-228.5,-371.75,-719.75,9.5,-143.25,-40.5,-64.5,-88.25,-163.25,-180.25
-93.25,-68.75,18.5,-215.75,-17.0,-214.75,-56.5,-128.5,-259.75,-117.75,-73.0,-59.75
-144.0,-189.25,-233.25,-360.5,-662.25,24.0,-153.0,-45.75,-45.0,-98.0,-172.5,-167.75
-99.0,-49.25,41.5,-210.0,2.5,-216.25,-28.25,-128.25,-260.0,-80.0,-52.75,-66.75
-145.0,-171.0,-254.5,-373.25,-651.5,1.5,-173.25,-43.25,-43.25,-100.5,-163.5,-167.0
-104.25,-49.25,48.25,-217.0,18.75,-205.75,-10.0,-134.5,-254.75,-77.0,-42.0,-85.5
-129.5,-144.0,-255.5,-375.25,-604.0,-0.5,-176.25,-11.25,-43.5,-72.75,-161.75,-173.75
-118.5,-36.5,39.5,-199.75,55.0,-201.75,-12.5,-153.75,-242.25,-87.75,-58.5,-88.0
-117.0,-130.5,-281.5,-368.25,-586.75,-8.25,-182.0,12.75,-19.75,-76.5,-188.25,-181.0
-98.0,-26.75,41.0,-173.0,70.0,-171.0,-0.25,-124.25,-226.25,-97.75,-56.5,-91.5
-128.5,-129.0,-285.0,-362.75,-578.0,-19.25,-199.0,-1.0,-28.25,-94.5,-189.25,-204.5
-86.75,-46.25,28.5,-157.75,48.25,-186.5,0.5,-123.0,-200.0,-102.5,-74.5,-85.0
-122.5,-132.25,-290.75,-360.75,-582.5,-12.0,-215.25,-11.5,-24.5,-137.5,-234.25,-215.25
-73.25,-30.75,31.5,-162.0,64.25,-191.5,-1.0,-103.5,-179.5,-93.5,-74.0,-84.75
-146.0,-152.5,-283.0,-365.0,-578.0,-9.5,-220.75,-44.0,-36.75,-140.5,-230.0,-203.5
-80.25,-22.5,28.0,-149.0,104.25,-195.5,-8.75,-113.5,-193.75,-113.75,-131.25,-90.5
