F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-67.0,276.75,-251.0,-263.0,-1310.5,-512.5,-383.25,210.25,-82.75,-163.25,-215.0,167.0
-118.0,-653.0,6.25,142.75,1393.75,279.25,21.5,-236.25,-105.25,-113.5,-27.75,-286.5
-7.25,413.0,-175.75,-125.75,-1366.0,-382.75,-270.5,329.75,12.25,-23.25,-116.5,218.5
-138.0,-814.75,10.5,88.5,1420.75,220.75,40.75,-320.25,-127.75,-133.75,-36.5,-319.75
41.5,487.25,-158.0,-43.5,-1343.75,-280.75,-249.75,378.25,47.75,19.5,-99.5,245.5
-192.25,-793.5,-16.25,51.0,1383.25,132.5,9.0,-368.5,-160.25,-183.75,-83.5,-306.75
54.5,609.25,-173.5,-80.0,-1388.0,-283.25,-250.0,401.5,57.5,16.25,-119.0,228.75
-186.5,-828.0,-16.5,88.0,1394.75,177.75,-10.5,-394.75,-156.75,-188.5,-69.75,-301.75
-0.75,566.0,-205.5,-180.75,-1424.75,-440.5,-317.25,306.0,2.0,-58.5,-176.25,217.25
-105.0,-652.25,62.25,255.5,1509.0,418.0,125.25,-279.25,-73.0,-56.5,35.25,-165.25
19.25,560.0,-201.0,-220.0,-1487.75,-481.75,-319.0,340.0,22.25,-40.75,-164.75,167.5
-183.75,-818.75,-27.0,100.75,1361.0,265.25,-19.25,-454.5,-179.75,-216.75,-92.5,-208.0
56.5,656.75,-150.0,-60.5,-1467.25,-427.25,-250.75,411.0,61.0,37.25,-89.75,181.5
-228.75,-906.75,-89.0,-71.5,1249.75,208.5,-68.0,-509.25,-210.0,-263.5,-173.25,-270.0
73.75,669.5,-105.25,-19.0,-1325.5,-382.25,-215.25,398.75,78.25,51.0,-42.75,219.75
-200.75,-766.25,-49.5,13.0,1166.5,289.0,20.75,-418.5,-186.0,-155.75,-118.5,-289.25
62.75,651.75,-119.25,-22.0,-1286.5,-379.5,-232.25,345.0,77.5,9.5,-81.5,277.25
-268.75,-897.25,-92.0,27.0,1289.25,266.5,-51.5,-524.25,-249.75,-244.25,-166.5,-297.25
83.0,588.75,-117.75,-47.5,-1341.25,-376.25,-209.0,412.0,73.5,63.0,-59.5,218.0
-210.25,-820.0,-56.5,-21.5,1234.0,260.75,-15.0,-631.5,-185.0,-204.0,-125.25,-211.0
76.75,599.25,-151.5,-68.75,-1413.75,-394.75,-261.5,315.25,54.5,8.5,-100.75,238.5
-191.5,-789.25,-22.5,-16.75,1290.75,301.0,31.5,-622.0,-170.0,-164.5,-89.0,-240.0
33.25,578.0,-158.25,-158.0,-1483.5,-466.0,-204.0,452.0,-22.0,-39.25,-117.5,78.75
-185.5,-756.75,-15.0,-27.25,1334.75,302.25,25.75,-604.0,-159.5,-142.0,-74.0,-260.5
5.75,566.75,-165.5,-164.75,-1498.25,-466.0,-227.5,431.25,-43.5,-36.25,-124.0,77.75
-182.0,-764.25,-18.25,-33.0,1318.5,264.25,28.0,-601.0,-158.25,-156.5,-75.25,-268.5
16.5,572.0,-166.75,-169.5,-1494.0,-432.0,-215.75,452.0,-29.25,-27.0,-129.75,83.25
-180.0,-766.75,2.5,-37.25,1307.0,265.0,41.75,-595.75,-153.5,-151.25,-61.25,-267.0
7.25,573.0,-170.0,-167.25,-1496.25,-445.5,-211.75,452.0,-33.0,-20.25,-130.75,85.0
-158.5,-748.5,12.75,-16.25,1318.5,271.0,38.0,-584.25,-143.5,-151.75,-48.5,-252.0
20.75,579.0,-179.5,-177.75,-1484.0,-456.25,-196.5,465.75,-28.5,-3.25,-119.75,93.5
