T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
29.75,378.5,269.25,-261.5,-131.5
-250.0,-594.75,-526.0,9.25,-296.5
45.25,404.0,297.75,-232.25,-112.5
-273.25,-591.5,-475.0,49.0,-281.0
60.0,388.0,252.5,-296.5,-114.25
-262.0,-595.5,-461.75,49.5,-288.75
47.75,374.5,251.0,-270.25,-132.75
-290.75,-574.25,-430.5,95.0,-296.5
56.25,381.5,255.25,-246.25,-144.0
-302.25,-597.25,-447.5,70.75,-282.25
109.5,412.25,276.75,-286.0,-101.0
-352.5,-627.25,-444.25,73.5,-280.75
165.0,395.75,286.5,-279.0,-98.5
-384.0,-610.0,-454.5,73.0,-289.5
176.0,414.5,318.75,-249.25,-87.25
-431.0,-620.75,-459.25,106.25,-304.25
243.5,409.75,222.75,-339.25,-12.0
-447.0,-595.25,-421.75,140.5,-295.0
198.0,399.25,252.5,-327.0,-42.25
-420.25,-611.5,-471.25,102.0,-282.75
206.5,416.25,279.5,-281.5,-61.75
-418.0,-610.5,-472.0,72.75,-255.75
201.25,422.0,312.25,-301.5,-91.75
-446.75,-651.5,-522.25,63.75,-295.25
207.0,449.25,362.25,-265.75,-89.25
-412.0,-652.0,-529.75,82.5,-278.0
235.5,460.5,353.75,-295.25,-49.5
-459.25,-659.0,-521.75,53.25,-247.5
61.75,428.75,306.5,-306.5,-155.0
-518.25,-637.5,-482.75,74.25,-250.0
150.0,511.25,374.0,-246.25,-66.75
-622.75,-656.5,-474.75,90.0,-303.25
160.5,537.5,368.75,-273.75,-99.5
-631.75,-697.0,-477.5,104.5,-355.75
213.0,571.0,390.75,-252.75,-12.25
-600.75,-727.0,-489.5,96.25,-349.75
319.5,604.0,441.75,-231.75,5.0
-704.0,-785.75,-558.5,69.75,-350.25
358.75,682.5,501.0,-234.75,37.75
