"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-266","0","-159","0","-220","0","14","0","-115","0","-214","0","-23","0","-34","0","-167","0","-188","0","-188","0","-6","0","-51","0","-186","0","21","0","24","0","?","0","53","8"
"95","0","83","0","152","0","107","0","148","0","74","0","84","0","121","0","-160","0","234","0","95","0","144","0","105","0","-151","0","21","0","23","0","?","0","123","8"
"-187","0","-427","0","-219","0","-436","0","-331","0","-450","0","-330","0","-349","0","-156","0","-78","0","-413","0","-388","0","-346","0","-165","0","21","0","23","0","?","0","124","5552"
"-94","0","-110","0","-142","0","-155","0","-64","0","-130","0","-18","0","-79","0","-156","0","21","0","-89","0","-136","0","-18","0","-149","0","21","0","23","0","?","0","125","6448"
"-106","0","211","0","-166","0","168","0","166","0","207","0","200","0","158","0","-161","0","6","0","197","0","173","0","169","0","-157","0","21","0","23","0","?","0","126","5320"
"-113","0","183","0","-35","0","197","0","190","0","162","0","137","0","170","0","-160","0","35","0","190","0","172","0","144","0","-161","0","21","0","23","0","?","0","127","0"
"82","0","63","0","134","0","120","0","84","0","36","0","22","0","121","0","-158","0","221","0","77","0","98","0","85","0","-150","0","21","0","23","0","?","0","234","5544"
"-214","6864","-363","0","-256","0","-416","0","-463","0","-331","0","-258","0","-347","0","-161","0","-177","0","-432","0","-276","0","-306","0","-167","0","21","0","24","0","?","0","234","5544"
"-134","6864","52","0","-133","0","-103","0","-87","0","108","0","200","0","-20","0","-156","0","-21","0","-41","0","102","0","102","0","-150","16","21","0","24","0","?","0","234","5544"
"-64","6864","347","0","-74","0","314","0","262","0","352","0","345","0","284","0","-156","0","136","0","305","5928","344","0","349","0","-154","16","21","0","24","0","?","0","234","5544"
"-129","6864","174","0","-49","0","199","0","89","5552","127","0","75","0","179","0","-152","0","24","0","163","5928","160","0","138","0","-163","16","21","0","24","0","?","0","234","5544"
"31","6864","25","0","82","0","47","0","-30","5552","11","0","6","6008","64","0","-151","0","129","0","46","5928","61","0","15","0","-153","16","21","0","24","0","?","0","234","5544"
"-240","6864","-393","0","-279","7112","-353","0","-331","5552","-314","0","-234","6008","-360","0","-160","0","-218","0","-334","5928","-293","0","-275","0","-169","16","21","0","24","0","?","0","234","5544"
"-158","6864","43","0","-133","7112","19","0","117","5552","139","0","139","6008","39","0","-154","0","-108","0","76","5928","108","0","142","5744","-154","16","21","0","24","0","?","0","234","5544"
"-47","6864","434","0","-26","7112","278","0","366","5552","445","0","325","6008","401","0","-152","0","112","0","409","5928","450","6128","362","5744","-158","16","21","0","24","0","?","0","234","5544"
"-168","6864","142","0","-74","7112","47","0","123","5552","97","0","79","6008","130","5656","-155","0","20","0","132","5928","138","6128","127","5744","-171","16","21","0","24","0","?","0","234","5544"
"-36","6864","31","0","34","7112","128","4912","110","5552","3","0","32","6008","14","5656","-152","0","65","0","13","5928","-10","6128","70","5744","-154","16","21","0","24","0","?","0","234","5544"
