"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-312","0","-302","0","-260","0","-247","0","-360","0","-296","0","-507","0","-395","0","-166","0","-313","0","-357","0","-450","0","-476","0","-173","0","22","0","23","0","?","0","48","0"
"-322","0","-346","0","-252","0","-329","0","-369","0","-334","0","-360","0","-244","0","-167","0","-277","0","-359","0","-284","0","-280","0","-165","0","22","0","23","0","?","0","49","0"
"-235","0","-46","0","-208","0","26","0","-37","0","-38","0","-147","0","39","0","-161","0","-109","0","-45","0","47","0","52","0","-158","0","22","0","24","0","?","0","50","0"
"-356","0","-207","0","-310","0","-137","0","-209","0","-200","0","-377","0","-230","0","-165","0","-331","0","-207","0","-261","0","-249","0","-174","0","22","0","24","0","?","0","51","24"
"-257","0","-44","0","-160","0","-55","0","-108","0","-44","0","-299","0","-96","0","-164","0","-244","0","-73","0","-216","0","-223","0","-169","0","22","0","24","0","?","0","52","8"
"-285","0","-168","0","-257","0","-155","0","-263","0","-152","0","-432","0","-231","0","-168","0","-277","0","-234","0","-290","0","-331","0","-167","0","22","0","23","0","?","0","53","8"
"-295","0","-250","0","-250","0","-171","0","-240","0","-231","0","-337","0","-242","0","-163","0","-239","0","-241","0","-213","0","-166","0","-163","0","22","0","24","0","?","0","54","16"
"-234","0","-59","0","-189","0","-15","0","-72","0","-43","0","-123","0","40","0","-160","0","-92","0","-72","0","13","0","53","0","-161","0","22","0","24","0","?","0","55","8"
"-355","0","-252","0","-333","0","-259","0","-319","0","-259","0","-468","0","-254","0","-168","0","-312","0","-306","0","-322","0","-328","0","-172","0","22","0","23","0","?","0","56","0"
"-238","0","-159","0","-166","0","-89","0","-99","0","-211","0","-439","0","-263","0","-162","0","-212","0","-63","0","-275","0","-255","0","-162","0","22","0","23","0","?","0","57","8"
