T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-16.25,237.25,98.5,60.75,87.0
-154.75,-322.25,-149.5,-110.75,-185.25
-14.75,259.75,98.5,67.0,81.75
-155.0,-326.0,-131.75,-99.25,-181.0
-16.5,246.5,61.25,41.25,72.75
-153.75,-313.5,-116.75,-83.75,-175.25
-17.0,249.75,82.75,57.0,70.5
-153.75,-317.25,-136.25,-116.0,-170.5
-13.75,250.0,80.5,86.0,72.0
-155.75,-299.25,-127.5,-113.25,-174.25
-8.75,225.0,75.0,90.0,86.25
-163.25,-276.5,-111.75,-122.5,-187.25
-3.0,207.75,54.75,67.0,89.75
-164.5,-274.5,-93.5,-111.25,-187.25
-6.5,220.25,33.0,63.5,82.5
-162.75,-271.0,-82.0,-93.5,-177.5
-8.25,200.75,17.25,41.5,76.5
-158.0,-278.0,-72.75,-86.0,-171.75
-14.5,225.75,12.0,34.0,72.0
-154.0,-289.5,-70.5,-93.75,-160.5
-17.0,219.0,13.25,31.25,62.5
-155.0,-301.5,-83.75,-78.0,-165.75
-15.5,228.5,-10.5,-10.5,70.25
-162.0,-317.25,-84.0,-83.5,-175.5
-6.75,224.25,-8.75,9.75,79.5
-165.5,-297.5,-72.5,-78.75,-186.75
-3.25,202.5,-21.5,-24.75,78.25
-170.5,-296.75,-63.25,-54.75,-188.5
-4.25,179.5,-29.5,-29.0,93.0
-166.5,-280.75,-71.5,-73.0,-197.0
-11.25,162.25,-36.25,-29.75,93.75
-154.25,-278.25,-69.75,-61.25,-193.0
-20.5,149.75,-47.25,-40.25,80.5
-155.75,-287.25,-69.5,-67.0,-180.75
-19.0,138.5,-60.25,-55.75,73.0
-156.0,-280.0,-83.25,-84.0,-184.25
-14.75,131.25,-65.25,-49.75,82.0
-162.5,-286.75,-85.75,-76.25,-192.5
-8.25,138.0,-87.75,-68.75,82.5
-166.75,-307.0,-90.75,-83.75,-196.75
-8.25,130.0,-90.0,-80.75,82.0
-167.0,-307.0,-94.25,-80.0,-192.25
-9.0,111.25,-109.75,-92.5,81.25
-161.75,-296.75,-75.5,-76.0,-189.25
-16.0,97.5,-112.25,-108.25,65.75
-156.25,-301.0,-80.0,-67.5,-179.5
-16.25,111.0,-120.0,-117.0,60.25
-160.5,-316.75,-53.25,-52.5,-179.5
-15.75,110.25,-128.25,-123.75,57.5
-161.5,-325.5,-70.75,-64.5,-185.5
-12.25,98.75,-132.25,-129.25,62.0
-163.5,-327.5,-77.75,-68.75,-188.5
-10.25,81.0,-169.5,-155.75,62.0
-168.0,-337.0,-74.75,-72.5,-196.25
-8.5,90.0,-143.5,-135.5,64.75
-162.25,-313.0,-83.0,-69.25,-194.0
-17.0,85.5,-133.0,-117.75,58.5
-156.5,-299.25,-102.75,-89.5,-190.25
-19.25,64.25,-137.25,-139.75,46.0
-154.0,-291.75,-114.5,-83.5,-187.25
-23.75,41.75,-140.75,-140.25,41.25
-155.5,-274.5,-123.75,-92.25,-192.75
-23.75,37.0,-142.75,-133.5,50.75
-160.0,-257.25,-98.75,-89.5,-197.25
-17.25,26.5,-138.0,-122.25,55.5
-166.0,-245.25,-94.25,-77.5,-203.5
-14.0,28.75,-125.5,-116.5,57.75
-161.25,-259.75,-91.75,-77.5,-201.5
-20.75,64.25,-122.0,-127.5,52.75
-158.0,-286.75,-102.75,-76.5,-196.75
-25.25,84.75,-111.75,-129.25,42.75
-152.5,-317.25,-129.25,-82.0,-193.5
-23.5,101.0,-115.25,-129.75,47.5
-154.75,-332.0,-154.25,-89.75,-199.25
-25.0,111.75,-127.75,-143.5,43.0
-160.25,-356.75,-158.5,-80.5,-199.5
-15.75,132.75,-135.0,-135.5,43.5
-166.25,-367.75,-153.5,-85.75,-204.5
-9.25,118.5,-143.0,-145.0,44.25
-172.25,-341.25,-128.75,-79.5,-204.5
-9.0,100.75,-149.25,-151.0,39.75
-167.25,-329.5,-127.25,-74.5,-193.75
-15.5,103.25,-134.25,-164.0,34.5
-163.75,-333.5,-130.75,-75.5,-194.0
-17.0,94.0,-114.75,-145.75,33.5
-161.5,-330.5,-132.5,-85.75,-188.25
-19.5,114.75,-124.25,-146.5,23.0
-166.75,-350.5,-116.0,-65.5,-184.5
-6.25,137.5,-118.0,-146.25,26.75
-177.0,-377.25,-121.0,-63.25,-193.75
0.5,157.5,-106.0,-136.75,38.5
-176.75,-389.75,-137.75,-88.75,-204.25
-3.75,147.25,-114.5,-133.5,43.25
-173.5,-389.5,-121.75,-91.5,-207.25
-6.75,121.0,-106.75,-126.5,37.0
-172.25,-377.75,-117.0,-104.25,-199.75
-11.5,114.25,-85.75,-132.5,37.25
-166.75,-356.5,-89.5,-84.0,-196.25
-15.25,115.75,-118.25,-130.0,32.5
-165.5,-340.75,-81.5,-69.75,-194.5
-10.5,126.75,-112.0,-134.75,34.0
-174.75,-332.25,-62.75,-47.25,-201.0
-3.25,133.0,-115.0,-136.0,40.5
-176.75,-362.0,-74.75,-71.75,-205.25
-5.0,117.75,-134.75,-137.5,40.5
-173.0,-318.75,-25.0,-23.0,-189.75
-7.25,253.5,-26.75,-25.25,63.0
-173.5,-253.0,59.5,62.25,-171.75
5.25,339.25,17.75,-6.5,84.5
-173.75,-315.5,30.0,58.5,-163.75
7.5,398.25,77.75,30.5,90.75
-167.5,-182.75,140.5,146.75,-140.25
0.5,354.0,32.5,34.5,92.0
-177.5,-170.0,174.5,133.5,-152.0
-5.75,362.5,6.75,59.75,89.0
-178.5,-185.5,177.5,119.5,-153.25
12.25,360.5,-32.5,41.25,103.75
-181.75,-231.5,158.5,89.0,-161.0
26.5,370.0,-24.25,40.75,120.75
-189.75,-273.5,137.25,53.5,-175.25
30.0,343.25,-58.5,49.25,117.75
-202.75,-250.0,137.75,28.0,-191.5
29.75,303.25,-93.75,31.0,124.25
-199.0,-232.5,150.75,39.75,-189.5
29.75,321.25,-92.5,17.75,126.5
-199.25,-279.5,119.25,26.25,-194.0
34.25,282.5,-151.75,1.75,126.75
-177.5,-248.0,168.75,38.5,-170.0
24.5,249.0,-170.0,-16.5,119.75
-201.5,-269.5,108.25,36.25,-192.0
26.5,278.75,-114.0,-37.75,124.5
-206.75,-300.5,69.5,40.5,-207.25
39.0,274.75,-121.25,-52.0,131.75
-217.5,-294.0,96.0,63.0,-207.5
55.25,249.5,-156.0,-73.5,144.5
-204.5,-312.5,79.5,39.5,-207.75
73.5,243.75,-129.75,-56.5,148.75
-232.5,-282.5,79.0,22.25,-217.25
33.5,195.0,-162.0,-84.25,102.25
-228.0,-266.5,65.5,5.5,-218.0
55.25,180.0,-141.5,-68.0,120.25
-225.0,-272.25,36.0,-33.0,-216.25
55.75,188.0,-118.5,-72.75,108.5
-200.25,-282.5,32.75,-20.75,-193.25
31.0,171.25,-135.0,-93.5,97.0
