F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-148480,-208120,-554840,-1336,-5536,-328608,-4416,-849600,0,-1093968,-241776,-1119960,-1264368,-328016,0,0,,0
-136880,-201240,-646360,-1360,58128,-299920,-4320,-934560,0,-1055448,-231840,-1076040,-1343888,-305208,0,0,,0
-135720,-201240,-789360,-1384,60896,-362512,-4032,-1033680,0,-1063152,-242720,-1046760,-1518832,-291600,0,0,,0
-147320,-209840,-720720,-1368,21824,-385984,-4440,-785880,0,-1140192,-244360,-1200480,-1359792,-326592,0,0,,0
-142680,-215000,-543400,-1352,16368,-349472,-1416,-969960,0,-1140192,-250920,-1398120,-1232560,-285768,0,0,,0
-154280,-208120,-591552,-1408,16368,-359904,-1464,-1132800,0,-1209528,-283720,-1273680,-1439312,-316872,0,0,,0
-174000,-215000,-705312,-1424,8184,-409456,-1432,-885000,0,-1309680,-293560,-1032120,-1421976,-322704,0,0,,0
-184440,-240800,-642744,-1392,-8184,-427712,-1344,-785880,0,-1394424,-301760,-1088296,-1263096,-287712,0,0,,0
-191400,-247680,-602928,-1376,-8184,-432928,-1464,-705024,0,-1448352,-306680,-1161336,-1334592,-330480,0,0,,0
-175160,-227040,-585864,-2768,-8184,-419888,-1368,-891648,0,-1332792,-295200,-1059080,-1318704,-297432,0,0,,0
-175160,-201240,-602928,-2736,-13640,-375552,-1440,-1354752,0,-1271160,-321440,-1051776,-1223376,-307152,0,0,,0
-189080,-215000,-682560,-2624,40920,-378160,-1456,-1029888,-1416,-1379016,-346040,-1110208,-1294872,-312984,0,0,,0
-180960,-257792,-745128,-2640,136400,-422496,-1352,-311040,-1264,-1440648,-300120,-1132120,-1398144,-285768,0,0,,0
-178640,-257792,-711000,-2704,122760,-404240,-1496,-781056,-1456,-1422280,-254200,-1219768,-1453752,-326592,0,0,,0
-184440,-228960,-631368,-2752,24552,-393984,-1392,-1492992,-1344,-1353088,-280440,-1234376,-1429920,-289656,0,0,,0
-203000,-266272,-659808,-2752,-32736,-453600,-1416,-1133568,-2672,-1429968,-336200,-1139424,-1382256,-307152,0,0,,0
-219240,-303312,-619992,-2592,-16368,-469152,-1464,-552960,-2752,-1491472,-339480,-1124816,-1358424,-332424,0,0,,0
-200680,-284568,-523296,-2560,16368,-422496,-1376,-435456,-2512,-1406904,-291920,-1110208,-1255152,-297432,0,0,,623376
-179800,-269232,-631368,-2800,57288,-432864,-1480,-974592,-2880,-1406904,-252560,-1095600,-1255152,-330480,0,0,,213856
-185600,-282864,-773568,-2816,51832,-487296,-1368,-1499904,-2688,-1406904,-283720,-1197856,-1429920,-295488,0,0,,0
-197200,-298200,-676872,-2656,0,-497664,-1368,-995328,-2720,-1429968,-341120,-1241680,-1334592,-301320,0,0,,142464
-184440,-289680,-477792,-2720,21824,-453600,-1424,-421632,-2800,-1514536,-313240,-1168640,-1064496,-330480,0,0,,654160
-175160,-262416,-619992,-2832,57288,-427680,-1352,-718848,-2448,-1522224,-260760,-1263592,-1255152,-283824,0,0,,224288
-198360,-248784,-802008,-2768,21824,-453600,-1504,-1237248,-2800,-1483784,-277160,-1387760,-1564968,-322704,0,0,,2088
-194880,-269232,-597240,-2672,8184,-479520,-1424,-1292544,-2672,-1391528,-287000,-1219768,-1366368,-316872,0,0,,149248
-174000,-294792,-500544,-2704,40920,-474336,-1392,-946944,-2704,-1429968,-278800,-1044472,-1286928,-305208,0,0,,684944
-191400,-322056,-648432,-2688,2728,-479520,-1456,-649728,-2848,-1537600,-293560,-1234376,-1533192,-316872,0,0,,235440
-201840,-323760,-711000,-2672,-46376,-489888,-1336,-1119744,-2432,-1422280,-309960,-1424280,-1509360,-291600,0,0,,1456
-185600,-291384,-807696,-2816,8184,-456192,-1464,-1534464,-2848,-1376152,-316520,-1219768,-1485528,-334368,0,0,,156768
-189080,-305016,-836136,-2800,24552,-438048,-1408,-967680,-2752,-1514536,-323080,-1051776,-1588800,-309096,0,0,,714240
