T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-183.0,-115.5,-139.0,-146.5,-164.5
0.5,-38.0,-20.0,-19.75,8.75
-180.5,-72.75,-120.75,-108.25,-167.75
2.5,-44.0,-7.75,-25.75,5.25
-179.25,-76.25,-113.75,-143.25,-163.75
-4.75,-31.75,-22.75,-10.75,8.75
-171.5,-91.0,-122.25,-154.25,-168.5
-11.75,-27.25,-20.25,23.25,11.75
-168.75,-54.0,-118.0,-175.75,-161.5
-10.5,-79.75,-29.25,27.25,-2.75
-169.0,-46.0,-118.25,-196.0,-157.25
-8.25,-77.5,-28.5,36.0,2.5
-171.0,-49.75,-123.25,-208.5,-162.75
-5.75,-83.5,-40.5,40.0,6.75
-173.25,-60.5,-109.5,-202.75,-167.25
-3.5,-74.0,-52.25,24.5,11.75
-174.25,-51.25,-102.75,-191.25,-173.25
-2.25,-70.75,-70.5,27.0,14.0
-173.0,-74.25,-98.0,-206.25,-172.25
-3.5,-76.75,-74.5,11.25,6.5
-170.5,-66.75,-96.25,-202.25,-163.25
-9.0,-46.5,-62.0,28.0,0.25
-165.25,-102.75,-101.0,-197.75,-156.0
-10.5,-22.75,-59.0,14.25,1.0
-164.25,-121.25,-112.5,-202.75,-155.0
-11.75,-7.75,-53.0,28.75,-0.75
-166.0,-137.75,-107.25,-215.5,-156.75
-7.25,17.25,-49.5,40.75,1.5
-171.25,-128.0,-109.25,-217.0,-165.0
-0.25,6.75,-43.75,34.75,8.0
-170.75,-137.75,-115.25,-214.75,-164.5
-3.25,-21.25,-39.75,40.25,4.0
-171.75,-110.75,-119.0,-208.25,-153.75
-6.75,-25.25,-38.5,35.5,-2.0
-167.75,-80.5,-116.25,-219.25,-152.5
-7.75,-56.75,-30.5,64.75,-4.5
-166.0,-54.75,-112.25,-226.75,-147.75
-4.75,-105.75,-40.25,68.0,-9.75
-172.25,-26.75,-127.0,-247.0,-152.75
-0.5,-99.0,-28.0,85.5,5.25
-170.5,-51.5,-118.0,-255.25,-162.5
