F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-242048,-314160,-1170048,-2560,-657552,-473456,-3024,-1457808,-155904,-1834880,-185024,-1659024,-2014000,-2528,0,0,,928
-243040,-287232,-1081344,-2656,-719352,-451088,-2768,-1533312,-141568,-1819840,-190512,-1544376,-1949552,-2336,0,0,,944
-230144,-257312,-1001088,-2944,-652608,-402624,-2928,-1417152,-152320,-1737120,-170912,-1476936,-1885104,-2624,0,0,,960
-214272,-261800,-950400,-2928,-568560,-385848,-2880,-1208064,-147840,-1676960,-149744,-1503912,-1844824,-2416,0,0,,1464
-233120,-305184,-954624,-2704,-630360,-426856,-2736,-1254528,-146944,-1744640,-174832,-1564608,-1885104,-2304,0,0,,992
-257920,-327624,-1013760,-2672,-714408,-471592,-2832,-1434576,-158592,-1819840,-202272,-1584840,-1973720,-2544,0,0,,1512
-243840,-323136,-1068672,-2784,-677328,-479048,-2768,-1475232,-146944,-1774720,-189728,-1571352,-1909272,-2288,0,0,,1512
-227584,-317152,-1085568,-2656,-630360,-458544,-2944,-1539120,-155008,-1699520,-175616,-1605072,-1868992,0,0,0,,1512
-237744,-317152,-1026432,-2576,-682272,-454816,-2848,-1626240,-151424,-1744640,-181584,-1645536,-1893160,0,0,0,,1512
-250952,-324632,-1022208,-2752,-714240,-477184,-2832,-1597200,-149632,-1917600,-192448,-1679256,-1885104,0,0,0,,1512
-240792,-332112,-1077120,-2752,-649760,-479048,-2960,-1527504,-157696,-1940160,-180808,-1679256,-1885104,0,0,0,,1512
-205232,-305184,-1076960,-2704,-577840,-434312,-2720,-1486848,-146048,-1729600,-159856,-1598328,-1788432,0,0,0,,1512
-192024,-266288,-1072720,-2784,-572880,-410080,-2880,-1527504,-155904,-1624320,-156752,-1497168,-1690080,0,0,0,,1512
-205232,-276760,-1081200,-2688,-610080,-449224,-2864,-1573968,-150528,-1601760,-165288,-1458240,-1770560,0,0,0,,1512
-198120,-267784,-1076960,-2624,-582800,-436176,-2768,-1438400,-146048,-1443840,-160632,-1431360,-1794704,0,0,0,,1512
-187960,-215424,-1051520,-1344,-550560,-363480,-2928,-1334000,-159488,-1338560,-152872,-1397760,-1665936,0,0,0,,1512
-201168,-224400,-1085440,-1352,-560480,-448448,-2736,-1560200,-149632,-1473920,-154424,-1411200,-1657888,0,0,0,,1512
-212344,-279752,-1174480,-1336,-543120,-494208,-2880,-1705200,-4248,-1676960,-157528,-1464960,-1778608,0,0,0,,1512
-211328,-284208,-1076960,-1360,-548080,-487344,-2896,-1542800,-4128,-1722080,-157528,-1525440,-1754464,0,0,0,,1512
-213360,-273792,-996400,-1392,-612560,-489632,-2736,-1508000,-3768,-1778496,-161408,-1612800,-1818848,0,0,0,,1512
-224536,-282720,-1085440,-1368,-607600,-510224,-2864,-1624000,-4224,-1861392,-163736,-1700160,-1915424,0,0,0,,1512
-210312,-275280,-1017600,-1320,-515840,-503360,-2688,-1479000,-2704,-1695600,-150544,-1632960,-1690080,0,0,0,,1512
-195072,-261888,-979440,-1336,-493520,-478192,-2832,-1334000,-2736,-1544880,-142008,-1464960,-1561312,0,0,0,,1512
-205232,-282720,-1136320,-1360,-548080,-480480,-2912,-1566000,-2752,-1642848,-146664,-1471680,-1730320,0,0,0,,609768
-235712,-333312,-1166000,-1304,-610080,-555984,-2688,-1682000,-2640,-1861392,-166064,-1592640,-1834944,0,0,0,,186304
-257048,-352656,-1060000,-1360,-644800,-610896,-2752,-1432600,-2800,-1997040,-187016,-1559040,-1818848,0,0,0,,1328
-211328,-296112,-1047280,-1464,-565440,-537680,-2704,-1345600,-2592,-1748352,-167616,-1397760,-1714224,0,0,0,,125664
-180848,-249984,-1051520,-1368,-540640,-462176,-2880,-1531200,-2704,-1514736,-149768,-1391040,-1633744,0,0,0,,639880
-225552,-294624,-983680,-1280,-664640,-521664,-2912,-1560200,-2784,-1725744,-169944,-1552320,-1722272,0,0,0,,196768
