"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-171","0","-196","2968","-161","0","-177","0","-712","0","-611","2464","-154","0","-117","0","-182","24","-171","0","-309","0","-238","8056","-268","0","-183","0","22","0","23","0","?","0","109","3136"
"-174","0","-218","2968","-178","0","-233","0","-718","0","-642","2464","-158","0","-144","0","-171","24","-179","0","-298","0","-247","8056","-258","0","-188","0","22","0","23","0","?","0","110","2480"
"-185","0","-244","2968","-179","0","-209","0","-724","0","-671","2464","-153","0","-155","0","-174","24","-188","0","-334","0","-247","8056","-258","0","-192","0","22","0","24","0","?","0","111","16"
"-167","0","-209","2968","-166","0","-173","0","-694","0","-615","2464","-160","0","-125","0","-186","24","-160","0","-310","0","-224","8056","-266","0","-174","0","22","0","24","0","?","0","112","2960"
"-144","0","-156","2968","-162","0","-164","0","-646","0","-549","2464","-158","0","-108","0","-169","24","-134","0","-246","0","-208","8056","-260","0","-152","0","22","0","24","0","?","0","113","3136"
"-140","0","-161","2968","-156","0","-158","0","-626","0","-548","2464","-146","0","-124","0","-182","24","-133","0","-214","0","-207","8056","-241","0","-153","0","22","0","24","0","?","0","114","2488"
"-125","0","-179","2968","-148","0","-175","0","-612","0","-543","2464","-140","0","-143","0","-175","24","-121","0","-159","0","-204","8056","-240","0","-148","0","22","0","24","0","?","0","115","0"
"-119","0","-163","2968","-159","0","-206","0","-566","0","-510","2464","-147","0","-153","0","-171","24","-113","0","-103","0","-208","8056","-244","0","-121","0","22","0","24","0","?","0","116","2944"
"-123","0","-162","2968","-167","0","-219","0","-535","0","-512","2464","-164","0","-153","0","-181","24","-122","0","-84","0","-216","8056","-242","0","-112","0","22","0","24","0","?","0","117","3152"
"-114","0","-193","2968","-164","0","-242","0","-550","0","-537","2464","-181","0","-155","0","-167","24","-116","0","-67","0","-219","8056","-240","0","-128","0","22","0","24","0","?","0","118","2464"
"-113","0","-196","2968","-170","0","-256","0","-567","0","-542","2464","-187","0","-164","0","-185","24","-101","0","-71","0","-226","8056","-239","0","-134","0","21","0","24","0","?","0","119","8"
"-115","0","-152","2968","-187","0","-210","0","-562","0","-522","2464","-181","0","-151","0","-178","24","-94","0","-84","0","-230","8056","-255","0","-127","0","21","0","24","0","?","0","120","2952"
"-105","0","-139","2968","-191","0","-178","0","-583","0","-518","2464","-176","0","-138","0","-170","24","-86","0","-75","0","-235","8056","-282","0","-131","0","21","0","23","0","?","0","121","3152"
"-109","0","-182","2968","-183","0","-202","0","-644","0","-565","2464","-202","0","-156","0","-181","24","-77","0","-93","0","-248","8056","-271","0","-155","0","21","0","23","0","?","0","122","2472"
"-122","0","-200","2968","-184","0","-202","0","-672","0","-599","2464","-219","0","-152","0","-165","24","-91","0","-166","0","-240","8056","-252","0","-172","0","21","0","23","0","?","0","123","0"
"-130","0","-182","2968","-187","0","-166","0","-657","0","-579","2464","-184","0","-128","0","-179","24","-126","0","-224","0","-213","8056","-256","0","-172","0","21","0","23","0","?","0","124","2944"
"-140","0","-172","2968","-181","0","-175","0","-659","0","-555","2464","-169","0","-140","0","-179","24","-139","0","-222","0","-211","8056","-262","0","-175","0","21","0","23","0","?","0","125","3152"
"-150","0","-176","2968","-165","0","-196","0","-688","0","-570","2464","-199","0","-161","0","-172","24","-123","0","-214","0","-222","8056","-246","0","-182","0","21","0","23","0","?","0","126","2480"
"-151","0","-181","2968","-154","0","-172","0","-699","0","-595","2464","-183","0","-150","0","-185","24","-117","0","-227","0","-211","8056","-222","0","-180","0","21","0","23","0","?","0","127","16"
"-163","0","-197","2968","-159","0","-168","0","-687","0","-609","2464","-133","0","-148","0","-169","24","-146","0","-270","0","-208","8056","-223","0","-189","0","21","0","23","0","?","0","232","2952"
"-202","2664","-244","2968","-156","0","-205","0","-714","0","-660","2464","-150","0","-158","0","-182","24","-199","0","-314","0","-217","8056","-227","0","-210","0","21","0","23","0","?","0","232","2952"
"-224","2664","-277","2968","-148","0","-206","0","-757","0","-714","2464","-196","0","-140","0","-182","24","-217","0","-309","0","-195","8056","-213","0","-221","1112","21","0","23","0","?","0","232","2952"
"-207","2664","-243","2968","-152","0","-164","0","-747","0","-687","2464","-180","0","-124","0","-170","24","-172","0","-312","2504","-184","8056","-211","0","-219","1112","21","0","24","0","?","0","232","2952"
"-184","2664","-199","2968","-149","0","-154","0","-701","3400","-635","2464","-160","0","-130","0","-184","24","-127","0","-316","2504","-198","8056","-219","0","-203","1112","21","0","23","0","?","0","232","2952"
"-166","2664","-195","2968","-147","0","-156","0","-684","3400","-637","2464","-177","2376","-119","0","-166","24","-114","0","-267","2504","-190","8056","-227","0","-184","1112","21","0","23","0","?","0","232","2952"
"-154","2664","-197","2968","-165","1496","-149","0","-693","3400","-644","2464","-180","2376","-119","0","-177","24","-105","0","-251","2504","-189","8056","-245","0","-179","1112","21","0","24","0","?","0","232","2952"
"-151","2664","-192","2968","-173","1496","-184","0","-689","3400","-632","2464","-156","2376","-151","0","-184","24","-95","0","-299","2504","-223","8056","-264","4864","-181","1112","21","0","24","0","?","0","232","2952"
"-157","2664","-202","2968","-142","1496","-196","0","-674","3400","-640","2464","-139","2376","-152","0","-170","24","-86","0","-285","2504","-221","8136","-251","4864","-178","1112","21","0","24","0","?","0","232","2952"
"-167","2664","-199","2968","-118","1496","-151","0","-658","3400","-637","2464","-127","2376","-116","6544","-189","24","-91","0","-245","2504","-181","8136","-226","4864","-178","1112","21","0","24","0","?","0","232","2952"
"-182","2664","-174","2968","-135","1496","-126","3072","-654","3400","-610","2464","-104","2376","-115","6544","-174","24","-124","0","-299","2504","-176","8136","-220","4864","-186","1112","21","0","24","0","?","0","232","2952"
