"F3 Value","F3 Quality","FC6 Value","FC6 Quality","P7 Value","P7 Quality","T8 Value","T8 Quality","F7 Value","F7 Quality","F8 Value","F8 Quality","T7 Value","T7 Quality","P8 Value","P8 Quality","AF4 Value","AF4 Quality","F4 Value","F4 Quality","AF3 Value","AF3 Quality","O2 Value","O2 Quality","O1 Value","O1 Quality","FC5 Value","FC5 Quality","X Value","X Quality","Y Value","Y Quality","Z Value","Z Quality","Unknown Value","Unknown Quality"
"-126","0","-139","0","-181","0","-160","0","-131","0","-184","0","-122","0","-181","0","-177","0","-68","0","-119","2592","-137","0","-152","0","-145","0","21","0","24","0","?","0","0","0"
"-241","0","-775","0","-148","0","-219","0","-937","0","-1382","0","-206","0","-163","0","23","8","-246","0","-473","2592","-133","0","-307","0","-480","0","19","0","19","0","?","0","0","0"
"-270","0","-875","3352","-139","0","-185","0","-927","0","-1417","0","-232","0","-154","0","51","8","-222","0","-472","2592","-118","0","-293","0","-476","0","19","0","19","0","?","0","0","0"
"-243","0","-902","3352","-118","0","-187","0","-938","0","-1559","0","-250","0","-158","0","71","8","-102","3144","-456","2592","-97","0","-267","0","-432","0","19","0","19","0","?","0","0","0"
"-225","0","-799","3352","-120","0","-190","0","-973","0","-1469","3152","-288","0","-126","0","89","8","-183","3144","-437","2592","-29","0","-242","0","-407","0","20","0","19","0","?","0","0","0"
"-265","0","-784","3352","-152","0","-159","0","-930","0","-1356","3152","-312","0","-158","0","130","0","-240","3144","-462","2592","-108","0","-284","0","-415","0","20","0","19","0","?","0","0","0"
"-264","0","-863","3328","-148","0","-145","0","-944","0","-1440","3152","-247","0","-207","0","200","0","-166","3144","-479","2592","-224","0","-304","0","-404","0","21","0","20","0","?","0","0","0"
"-207","0","-918","3328","-98","0","-156","0","-1011","0","-1500","3152","-172","0","-167","0","228","0","-172","3144","-494","2592","-162","0","-236","0","-397","0","22","0","20","0","?","0","81","3136"
"-206","0","-887","3328","-75","0","-141","0","-960","0","-1446","3152","-179","0","-147","0","260","0","-212","3144","-499","2592","-92","0","-188","0","-392","0","22","0","20","0","?","0","82","3136"
"-211","0","-878","3328","-92","0","-126","0","-915","0","-1500","3152","-236","0","-180","0","303","0","-95","3144","-467","2592","-111","0","-188","0","-373","0","23","0","21","0","?","0","83","0"
"-177","0","-930","3328","-80","0","-180","0","-975","0","-1586","3152","-305","0","-144","0","328","0","-9","3144","-462","2592","-84","0","-152","0","-362","0","23","0","21","0","?","0","84","3328"
"-206","0","-897","3328","-48","0","-211","0","-956","0","-1454","3152","-313","0","-97","0","342","0","-169","3144","-478","2592","-70","0","-112","0","-359","0","23","0","22","0","?","0","85","3136"
"-255","0","-779","3328","-49","0","-126","0","-894","0","-1280","3152","-228","0","-127","0","326","0","-342","3144","-456","2592","-93","0","-105","0","-330","0","23","0","22","0","?","0","86","3160"
"-208","0","-819","3328","-62","0","-116","0","-954","0","-1404","3152","-206","0","-160","0","321","0","-189","3144","-450","2592","-58","0","-109","0","-284","0","23","0","22","0","?","0","87","24"
"-168","0","-949","3328","-64","0","-268","0","-999","0","-1583","3152","-266","0","-176","0","294","0","24","3144","-474","2592","-52","0","-126","0","-299","0","23","0","22","0","?","0","88","3344"
"-228","0","-876","3328","-73","0","-299","0","-936","0","-1396","3152","-244","0","-192","0","235","0","-166","3144","-471","2592","-98","0","-144","0","-366","0","23","0","22","0","?","0","89","3136"
"-234","0","-807","3328","-102","0","-156","0","-900","0","-1218","3152","-196","0","-177","0","196","0","-341","3144","-449","2592","-104","0","-167","0","-401","0","23","0","23","0","?","0","90","3144"
"-176","0","-926","3328","-123","0","-130","0","-922","0","-1438","3152","-228","0","-157","0","146","0","-109","3144","-441","2592","-101","0","-217","0","-386","0","23","0","23","0","?","0","91","24"
