T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-232.75,-210.75,-246.0,-212.25,-257.5
-242.5,-279.25,-325.75,-216.75,-265.75
-248.5,-299.5,-347.0,-231.0,-275.0
-207.25,-210.5,-256.25,-184.75,-227.75
-216.75,-246.0,-270.75,-198.5,-242.0
-207.5,-195.0,-223.75,-186.0,-229.25
-227.25,-210.0,-266.0,-208.25,-249.5
-228.0,-200.75,-223.25,-198.75,-250.5
-226.0,-228.25,-244.0,-208.25,-248.25
-254.75,-337.0,-360.0,-242.25,-277.75
-205.5,-190.75,-194.5,-178.25,-221.0
-207.0,-224.5,-223.25,-185.0,-238.25
-190.5,-89.5,-137.75,-161.75,-208.25
-172.75,-87.25,-111.25,-151.25,-201.25
-204.25,-144.75,-166.5,-180.75,-229.5
-168.75,-104.75,-118.5,-146.0,-193.25
-198.25,-185.0,-167.5,-174.0,-222.25
-185.25,-149.25,-141.5,-160.5,-211.25
-193.5,-166.25,-166.75,-171.5,-224.0
-211.5,-189.5,-209.5,-196.5,-244.25
-190.25,-135.0,-170.0,-167.25,-223.75
-188.5,-124.75,-146.25,-173.5,-209.25
-158.5,-92.75,-101.5,-140.0,-181.75
-185.25,-152.25,-145.25,-168.0,-213.75
-186.75,-133.25,-141.0,-170.5,-204.25
-190.5,-156.5,-172.25,-178.5,-217.0
-200.5,-133.75,-167.5,-186.5,-229.0
-175.0,-93.5,-145.25,-155.75,-193.5
-195.0,-150.0,-179.75,-173.5,-222.0
-173.0,-123.25,-154.0,-158.75,-192.25
-194.25,-170.75,-191.75,-176.25,-216.25
-192.0,-147.75,-163.75,-165.5,-217.0
-192.75,-131.75,-158.5,-171.0,-213.75
-192.5,-94.5,-98.0,-163.0,-210.5
-162.0,-73.25,-67.0,-131.25,-188.5
-195.75,-230.75,-195.75,-165.5,-207.75
-196.0,-159.75,-204.25,-183.5,-212.0
-170.5,-146.75,-173.5,-161.25,-181.75
-198.25,-242.75,-240.75,-187.5,-215.75
-179.75,-165.25,-180.0,-164.0,-194.25
-173.25,-147.5,-148.5,-158.5,-194.75
-158.5,-81.5,-104.75,-152.5,-175.75
-150.25,-75.75,-104.75,-131.0,-162.0
-156.75,-119.25,-110.75,-147.75,-174.25
-146.25,-94.0,-78.5,-133.75,-162.25
-209.25,-231.25,-243.0,-212.75,-229.75
-169.0,-132.5,-159.75,-162.5,-179.25
-170.0,-106.75,-137.25,-157.75,-175.25
-184.75,-108.25,-136.0,-137.75,-181.75
-182.75,-17.75,6.5,10.5,-112.0
-173.5,45.75,68.5,26.25,-99.75
-166.75,41.0,35.75,77.25,-82.5
-169.5,50.25,95.75,70.5,-79.0
-159.75,151.0,143.75,113.0,-55.25
-164.0,200.25,217.25,206.0,-49.5
-171.75,182.25,172.25,169.75,-54.25
-179.0,194.75,212.25,175.0,-61.5
-188.75,187.25,169.0,180.0,-68.25
-170.0,180.5,184.75,173.5,-50.75
-170.25,137.5,118.75,144.0,-59.0
-162.0,149.5,140.25,144.5,-48.5
-159.25,111.0,119.25,109.0,-46.0
-159.75,74.5,76.75,108.25,-52.0
-168.5,89.75,111.25,76.75,-65.25
-173.0,75.0,36.75,60.75,-76.0
-171.25,45.0,39.25,62.0,-67.5
-169.0,100.0,58.75,71.0,-61.0
-169.5,27.25,46.25,45.75,-65.75
-169.5,61.0,10.0,36.75,-66.5
-153.25,20.5,5.25,42.25,-52.75
-146.75,6.0,-13.0,28.5,-48.75
-161.75,-2.5,-17.75,19.75,-61.25
-179.25,4.25,-21.5,21.5,-69.0
-179.5,-7.25,-20.25,-10.5,-75.75
-174.75,-35.25,-46.75,-9.5,-80.0
-168.75,-22.75,-65.75,3.75,-76.75
-174.0,-20.0,-13.5,23.75,-70.0
-153.5,-57.0,-80.25,-50.0,-60.75
-142.25,-72.0,-70.75,-26.75,-64.25
-137.5,-41.5,-32.25,-18.5,-55.5
-185.5,-67.0,-98.5,-58.25,-92.75
-199.5,-89.0,-92.25,-68.5,-122.75
-180.5,-90.0,-75.5,-57.75,-104.75
-171.75,-90.5,-94.75,-87.5,-97.75
-167.25,-71.25,-82.25,-93.75,-100.75
-162.25,-83.0,-75.75,-86.5,-101.75
-154.0,-126.25,-112.75,-113.0,-85.5
-172.0,-108.25,-119.5,-113.25,-104.75
