F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-18.0,-19.25,0.75,-18.25,-5.0,-5.5,-29.5,13.75,-23.0,22.0,-3.75,-11.75
-113.5,-127.75,-141.25,-103.25,-156.0,-144.0,-98.25,-164.0,-134.75,-125.25,-136.75,-158.5
-42.0,-37.5,8.75,-33.0,-24.75,3.5,-39.0,18.0,-30.25,7.25,4.5,-3.5
-123.5,-129.5,-166.25,-102.5,-159.75,-163.75,-104.5,-169.25,-125.25,-142.75,-148.5,-176.0
-108.0,-102.0,-49.0,-94.5,-94.25,-21.25,-91.75,-2.5,-85.5,-48.75,-18.75,-34.75
-68.25,-66.0,-148.5,-39.75,-96.25,-152.75,-37.75,-164.0,-57.5,-99.75,-137.75,-165.5
-113.0,-103.5,-79.0,-99.25,-94.0,-43.0,-101.75,-12.25,-88.75,-62.75,-37.75,-51.75
-91.0,-89.25,-139.25,-71.0,-124.0,-143.25,-58.25,-162.5,-82.75,-108.0,-132.0,-158.0
-105.0,-89.25,-57.75,-102.5,-87.25,-28.75,-95.25,2.5,-80.25,-41.0,-28.0,-38.75
-124.0,-116.0,-168.25,-104.25,-156.0,-156.75,-98.0,-170.0,-112.25,-148.5,-147.5,-171.25
-4.25,20.0,-7.75,9.5,19.75,-3.75,0.75,22.25,30.75,24.75,0.25,-13.0
-127.25,-123.25,-189.0,-108.5,-160.75,-170.75,-98.75,-175.75,-111.75,-160.5,-164.0,-186.75
-48.0,-43.5,-14.0,-38.75,-35.75,-7.5,-44.75,17.75,-13.5,-12.5,-4.5,-11.5
-122.5,-127.0,-176.0,-104.25,-159.5,-168.25,-107.75,-169.5,-101.25,-162.75,-158.5,-180.0
-92.5,-85.0,-60.0,-81.0,-80.75,-31.0,-101.25,-0.25,-51.5,-65.5,-27.0,-37.25
-35.5,-30.25,-134.75,-7.25,-67.75,-147.5,-26.25,-153.5,-6.0,-93.25,-130.0,-154.75
-91.5,-82.5,-63.0,-84.25,-79.25,-36.25,-92.5,-1.0,-51.75,-49.25,-29.0,-43.0
-79.5,-85.75,-128.0,-62.5,-120.5,-140.0,-60.25,-155.75,-58.25,-111.0,-124.5,-151.0
-58.0,-48.75,-35.5,-49.5,-43.75,-20.75,-68.75,11.75,-18.5,-31.25,-15.25,-28.5
-118.75,-114.25,-186.75,-92.25,-151.75,-165.5,-119.0,-176.5,-95.5,-184.0,-157.25,-183.0
-10.75,12.0,-24.5,10.75,10.5,-10.0,-37.25,14.75,30.25,-21.25,-8.25,-20.0
-155.0,-152.25,-210.5,-133.75,-193.5,-183.25,-150.0,-185.25,-140.25,-206.25,-174.0,-201.5
-90.5,-85.25,-42.75,-80.0,-83.5,-20.5,-95.5,4.0,-60.25,-55.25,-17.75,-30.25
-112.75,-115.25,-177.0,-86.75,-151.25,-168.75,-97.25,-172.5,-93.5,-166.0,-159.0,-183.5
-103.25,-95.5,-74.0,-83.5,-91.25,-39.75,-106.75,-9.25,-64.75,-91.5,-35.25,-49.5
-50.5,-44.25,-134.5,-15.5,-80.5,-145.25,-34.0,-157.0,-24.75,-116.25,-130.0,-157.75
-105.0,-93.5,-59.75,-91.75,-89.25,-35.75,-103.5,-0.5,-70.0,-69.25,-28.75,-44.25
-101.25,-101.5,-131.0,-73.0,-136.5,-144.5,-77.25,-159.75,-84.5,-133.25,-126.5,-158.25
-26.25,-10.5,-8.5,-2.5,-4.5,-10.25,-27.0,19.25,9.75,2.25,-2.25,-21.25
-93.25,-92.0,-160.25,-60.0,-126.0,-157.5,-76.5,-170.0,-78.0,-144.5,-147.0,-177.25
26.5,39.5,30.75,48.0,46.0,14.5,21.0,31.0,57.5,41.25,18.75,1.0
-92.75,-93.5,-145.25,-71.25,-126.75,-151.5,-75.75,-160.75,-83.5,-127.25,-144.0,-172.5
-27.5,-17.25,12.75,-12.0,-11.5,6.25,-31.75,26.0,1.25,11.25,9.0,-3.75
-6.75,8.0,-99.0,32.25,-28.0,-130.5,4.5,-140.75,14.75,-60.25,-118.0,-143.0
-36.75,-11.75,-25.25,-8.25,-8.0,-14.75,-39.25,13.75,1.5,-8.75,-13.0,-26.25
-9.0,4.5,-82.5,26.75,-29.75,-120.0,16.25,-137.0,11.25,-40.75,-105.25,-135.25
-55.0,-38.0,-5.75,-42.5,-30.25,-10.0,-40.75,19.5,-25.5,19.25,-3.25,-24.5
-75.75,-75.5,-112.5,-53.25,-107.0,-135.25,-44.0,-151.75,-63.75,-79.0,-120.75,-153.25
24.5,39.5,26.25,42.25,48.5,4.25,22.0,31.75,58.0,66.0,13.5,-2.5
-81.0,-81.25,-148.25,-54.5,-112.75,-157.0,-65.75,-164.75,-70.75,-108.0,-142.5,-171.5
9.5,19.25,29.5,22.75,26.25,11.25,0.75,33.25,34.25,58.0,19.5,4.75
-83.5,-85.5,-135.0,-65.0,-119.0,-150.0,-77.25,-154.0,-78.75,-99.5,-137.0,-164.5
-27.25,-22.25,10.25,-15.0,-17.0,1.75,-39.5,23.75,-7.0,25.25,9.75,-8.25
23.5,27.25,-79.5,51.75,-8.0,-121.25,28.0,-133.5,34.5,-18.0,-104.25,-133.25
-26.0,-20.0,-18.0,-17.0,-12.25,-13.5,-43.5,17.75,-3.0,8.75,-10.0,-21.75
-14.5,-19.25,-85.5,4.25,-49.5,-122.25,-8.0,-136.75,-8.5,-52.25,-107.75,-132.75
-36.5,-23.5,-9.25,-30.25,-14.25,-14.25,-46.0,24.25,-11.0,8.5,-7.25,-20.75
-88.5,-82.5,-143.0,-64.0,-115.0,-152.0,-78.0,-159.0,-77.25,-125.75,-141.0,-167.0
21.5,44.25,16.25,43.5,49.75,3.0,14.75,30.5,53.25,42.75,6.0,-8.75
-107.25,-105.25,-169.25,-86.75,-139.75,-161.75,-89.5,-168.0,-100.75,-136.0,-155.5,-183.25
-26.0,-25.75,1.0,-23.25,-19.5,4.75,-41.25,25.75,-9.5,14.5,5.25,-5.0
-79.25,-86.25,-150.25,-64.25,-122.25,-153.25,-83.75,-155.75,-77.0,-120.25,-142.0,-166.75
-60.75,-55.25,-38.25,-51.25,-54.0,-20.0,-84.5,9.75,-38.5,-35.0,-13.75,-29.75
-18.5,-18.25,-117.5,8.75,-58.25,-139.5,-22.5,-147.75,-8.25,-79.5,-123.25,-151.25
-91.5,-88.5,-62.0,-82.25,-89.0,-36.0,-102.0,0.25,-71.25,-49.5,-31.25,-46.75
-87.0,-100.0,-134.75,-72.25,-140.75,-143.75,-72.0,-159.25,-86.75,-111.75,-130.75,-158.0
-48.25,-49.0,-32.75,-50.5,-51.0,-22.25,-60.0,9.75,-34.5,-15.25,-15.0,-28.5
-115.5,-121.25,-186.25,-104.0,-167.5,-170.25,-108.5,-179.0,-120.75,-168.0,-156.75,-183.5
-3.5,11.5,-9.75,1.5,2.25,-6.0,-16.5,18.75,11.5,5.75,-1.0,-13.75
-141.25,-143.5,-189.75,-135.5,-189.75,-176.25,-129.5,-179.5,-147.5,-181.25,-165.75,-191.75
-79.0,-72.75,-31.5,-79.5,-77.0,-15.25,-87.25,7.75,-65.25,-40.75,-11.75,-22.75
-88.0,-84.25,-159.75,-73.0,-130.75,-157.5,-80.5,-164.5,-83.75,-134.75,-147.5,-172.25
-94.75,-86.5,-65.5,-94.25,-93.5,-35.0,-104.0,-6.5,-76.75,-69.25,-31.25,-46.25
-54.75,-56.25,-134.75,-44.5,-102.5,-144.75,-38.25,-158.25,-54.25,-106.25,-130.75,-158.75
-115.75,-115.25,-67.25,-127.75,-120.75,-40.75,-111.0,-4.5,-107.25,-66.5,-34.25,-50.75
-126.75,-138.5,-148.25,-125.0,-180.25,-158.25,-96.0,-171.25,-136.25,-147.75,-140.25,-171.25
-52.5,-42.0,-28.25,-52.25,-41.25,-24.25,-45.25,5.25,-40.25,-19.5,-14.25,-30.5
-151.0,-154.0,-203.0,-139.25,-192.25,-180.25,-126.25,-191.5,-161.25,-192.75,-167.0,-195.5
-54.75,-53.5,-21.0,-53.75,-49.75,-10.0,-48.5,6.0,-52.0,-18.25,-3.0,-19.5
-171.5,-186.25,-194.25,-168.25,-220.5,-173.0,-137.5,-185.25,-189.5,-180.0,-163.75,-192.75
-108.5,-116.5,-44.0,-116.5,-110.75,-19.25,-100.0,-2.5,-111.25,-48.5,-17.75,-31.5
-71.75,-77.25,-141.5,-60.25,-113.75,-152.0,-51.75,-165.0,-84.5,-107.5,-140.0,-165.25
-94.5,-86.75,-62.25,-94.25,-83.5,-33.5,-90.25,-8.5,-92.5,-53.75,-33.5,-43.75
-58.75,-62.25,-122.5,-46.25,-95.0,-135.5,-35.75,-158.0,-72.0,-96.75,-125.0,-147.75
-89.75,-85.75,-40.75,-89.5,-74.5,-24.0,-81.25,2.0,-87.0,-34.5,-19.0,-31.0
-109.25,-113.25,-142.5,-92.25,-142.75,-147.0,-73.5,-168.0,-120.5,-124.0,-132.25,-161.0
6.25,22.75,12.75,18.5,31.75,1.75,14.75,23.5,18.5,44.5,11.5,-4.75
-103.5,-101.75,-156.5,-82.0,-133.0,-160.25,-74.5,-171.0,-112.75,-125.75,-144.5,-173.5
-8.5,0.75,28.0,2.25,8.0,12.0,1.5,28.25,-3.0,49.25,21.5,4.5
-83.25,-84.0,-130.5,-64.0,-113.0,-145.5,-58.75,-157.0,-92.25,-96.0,-132.0,-162.0
-46.5,-37.0,-4.75,-32.0,-24.75,-5.5,-46.25,12.75,-37.25,3.0,1.75,-15.0
-4.5,5.25,-96.5,24.25,-25.0,-130.75,14.5,-145.5,-9.25,-48.0,-112.0,-142.25
-64.0,-51.25,-36.0,-58.5,-41.0,-20.75,-60.25,5.5,-61.5,-20.75,-15.25,-32.5
-59.75,-63.0,-108.0,-45.25,-92.0,-128.75,-31.5,-151.0,-78.25,-82.0,-114.0,-143.25
-62.25,-50.0,-24.75,-57.75,-39.5,-16.0,-54.0,12.75,-61.5,-7.25,-8.75,-25.5
-117.25,-110.75,-161.75,-92.5,-140.0,-154.0,-89.5,-172.5,-125.0,-145.75,-143.25,-173.0
-9.25,15.75,6.25,14.75,29.0,-0.25,1.0,17.25,6.75,25.5,6.25,-9.75
-145.5,-136.25,-179.0,-121.75,-162.25,-171.75,-107.25,-182.0,-156.0,-156.75,-158.75,-189.25
-72.0,-60.0,-11.0,-62.0,-44.0,-5.5,-53.5,9.0,-71.5,-8.0,-2.0,-17.0
-110.25,-105.25,-156.75,-88.0,-130.0,-158.25,-75.5,-171.25,-126.75,-130.5,-148.75,-176.5
-101.5,-82.25,-61.25,-82.75,-72.0,-28.75,-87.25,-10.0,-99.5,-59.0,-29.75,-43.0
-57.0,-38.25,-137.25,-18.5,-70.75,-139.75,-24.25,-164.25,-63.25,-107.5,-135.25,-158.25
-119.25,-96.75,-66.5,-105.0,-90.25,-32.25,-99.75,-11.75,-116.0,-71.75,-37.25,-49.0
-103.75,-96.0,-129.5,-83.5,-129.5,-140.75,-68.25,-168.25,-121.25,-122.25,-131.25,-157.75
-23.5,-2.5,0.5,-15.5,5.5,-4.25,-18.25,13.0,-20.75,12.25,-1.0,-15.25
-71.5,-62.25,-134.5,-52.75,-94.25,-145.5,-49.25,-168.25,-83.25,-121.75,-135.5,-165.25
63.75,91.5,60.25,78.25,98.0,25.75,63.75,37.0,75.0,80.0,35.25,18.0
-39.5,-25.0,-105.75,-17.25,-56.75,-133.0,-18.25,-150.75,-44.0,-77.5,-119.25,-146.75
50.0,73.5,72.0,66.5,83.5,33.75,44.5,44.0,67.0,78.0,42.75,28.25
83.5,108.75,-25.0,118.0,79.0,-99.5,87.0,-116.0,92.25,22.25,-78.25,-108.25
93.0,124.0,74.5,116.25,135.75,29.5,75.0,46.25,116.5,104.0,38.5,21.25
