F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
61.5,103.25,1.5,74.0,94.0,0.75,67.25,10.25,95.75,-2.75,-1.0,3.5
-49.25,-54.5,-77.25,-28.25,-50.5,-157.75,-28.0,-152.75,-41.25,-40.25,-135.0,-172.75
-52.25,-12.5,-50.25,-75.5,-15.5,-12.75,-34.75,1.0,-45.0,-59.5,-12.75,-7.5
-129.25,-151.75,-75.75,-82.25,-153.75,-157.75,-82.25,-151.0,-122.75,-28.0,-133.0,-174.25
-98.0,-68.0,-81.0,-112.25,-75.75,-20.25,-72.0,-2.25,-88.75,-86.25,-17.25,-14.25
-117.75,-140.75,-82.75,-61.75,-143.0,-158.25,-85.75,-148.25,-113.0,-34.75,-133.75,-174.0
-54.25,-26.0,-48.25,-42.5,-32.75,-6.0,-41.5,0.25,-34.0,-61.0,-6.25,-4.5
-25.75,-34.75,-34.25,-12.0,-35.25,-132.75,-14.0,-124.25,-22.25,15.0,-104.25,-141.25
-86.5,-81.0,-75.25,-106.75,-77.25,-43.5,-92.5,-22.5,-93.5,-85.75,-43.25,-43.75
16.25,-52.25,19.0,19.0,-27.0,-107.5,9.75,-113.75,-24.5,66.75,-76.25,-114.5
-104.75,-121.75,-108.0,-125.0,-104.5,-55.75,-112.0,-22.75,-131.75,-110.5,-53.25,-54.25
-29.25,-82.5,-45.25,-14.25,-62.5,-124.75,-29.0,-132.75,-53.25,-9.0,-97.75,-133.25
-22.5,-2.0,-51.25,-22.25,1.75,-23.75,-18.0,-0.5,-17.5,-44.25,-26.25,-22.25
-47.5,-83.0,-77.5,-37.5,-85.0,-165.0,-24.5,-153.75,-62.5,-36.0,-139.75,-179.5
68.75,56.25,-16.25,36.0,45.0,-5.75,71.75,9.25,59.25,-11.0,-2.5,0.75
-3.5,-66.5,-100.5,-2.25,-65.25,-166.25,-9.0,-148.25,-27.25,-52.75,-139.75,-179.25
