F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
93.25,158.25,87.25,162.25,161.5,162.75,173.25,137.5,166.0,176.25,170.0,5.75
-317.0,-181.25,-257.25,-219.75,-179.75,-450.0,-212.25,-252.75,-186.0,-245.75,-256.5,-175.75
86.0,79.25,87.25,94.0,105.25,124.0,118.25,113.0,73.25,130.0,123.0,5.25
-299.5,-199.75,-247.0,-209.25,-199.75,-443.0,-221.5,-242.0,-200.5,-245.25,-257.25,-175.0
62.5,51.75,53.0,88.25,65.25,78.25,107.75,80.0,54.75,106.75,97.0,3.25
-272.25,-108.5,-210.25,-130.75,-107.5,-345.5,-110.25,-183.0,-118.5,-143.0,-153.0,-174.0
43.0,19.5,30.75,32.75,32.5,63.5,69.5,60.5,16.0,75.25,75.0,0.25
-289.25,-183.5,-212.5,-218.75,-181.5,-423.75,-204.75,-218.25,-181.0,-234.75,-219.0,-173.5
54.5,35.75,53.0,27.25,66.25,80.5,63.0,67.0,26.0,80.0,89.5,2.5
-330.0,-194.75,-246.0,-222.0,-190.25,-425.25,-240.25,-282.25,-188.25,-260.25,-234.0,-175.5
75.0,152.0,83.75,173.0,157.75,159.5,168.25,102.0,168.75,170.25,174.0,4.75
-337.0,-197.0,-268.0,-229.5,-207.25,-474.0,-242.0,-292.0,-195.0,-266.75,-268.25,-177.75
56.5,69.25,67.75,90.0,76.75,74.0,84.0,64.75,75.75,97.5,101.5,2.0
-317.25,-189.0,-251.75,-223.5,-193.0,-450.5,-210.0,-268.75,-184.5,-238.0,-242.0,-177.5
26.25,31.0,27.5,33.5,54.0,62.75,69.75,16.5,18.5,71.75,75.5,0.25
-300.25,-115.75,-226.75,-139.5,-104.5,-366.5,-157.5,-244.75,-125.25,-190.25,-180.0,-176.0
17.75,8.0,5.25,33.5,27.25,43.25,24.5,1.75,13.5,29.0,38.0,-1.5
-321.5,-197.25,-249.5,-209.0,-193.25,-452.25,-251.0,-278.25,-198.75,-277.75,-250.0,-175.75
46.25,54.75,34.25,61.75,82.0,70.0,81.0,53.25,35.5,94.25,104.75,1.75
-350.0,-227.75,-282.5,-261.5,-224.0,-482.0,-248.25,-311.5,-231.75,-279.75,-265.5,-177.5
63.75,108.75,67.0,130.5,124.5,104.75,135.0,79.5,117.5,131.75,137.25,4.75
-336.0,-218.25,-270.0,-228.25,-220.25,-491.75,-263.75,-298.0,-205.5,-296.0,-298.5,-176.75
50.0,47.75,59.25,78.75,63.0,78.5,60.0,52.0,65.0,66.25,78.0,2.75
-305.25,-157.75,-237.0,-181.5,-161.25,-405.75,-199.0,-244.5,-145.5,-217.25,-206.5,-175.5
25.5,21.0,24.0,23.25,36.5,41.0,41.5,22.25,11.0,60.25,70.5,0.25
-296.0,-134.75,-220.75,-193.5,-133.75,-421.75,-196.5,-237.25,-164.75,-214.25,-203.0,-175.25
28.75,31.0,23.5,29.5,45.5,18.75,21.0,20.75,8.75,29.75,27.75,-0.5
-328.25,-182.5,-240.75,-224.0,-186.0,-451.5,-251.0,-283.25,-205.25,-283.25,-273.0,-177.25
57.5,112.25,65.0,105.75,134.5,132.75,114.25,78.75,80.0,121.25,126.5,2.5
-349.75,-221.75,-276.25,-255.5,-218.25,-456.75,-273.75,-303.25,-238.75,-296.25,-273.0,-176.75
64.5,82.25,68.5,84.0,89.5,107.75,84.0,80.0,72.25,97.0,113.25,5.5
-325.5,-194.5,-266.0,-239.0,-205.25,-490.0,-276.5,-282.25,-210.5,-299.25,-290.0,-175.25
39.0,47.25,44.75,48.25,50.5,42.5,37.25,39.25,32.5,46.75,64.0,2.0
-298.0,-118.0,-222.25,-166.5,-133.75,-392.75,-171.25,-231.5,-132.75,-203.25,-196.25,-176.25
29.75,22.0,39.25,20.5,34.5,58.75,47.5,30.5,5.0,52.25,61.25,-2.0
-292.25,-205.75,-201.25,-227.5,-200.0,-388.25,-224.5,-235.25,-213.5,-236.0,-222.0,-176.0
56.0,19.75,51.5,44.75,35.25,87.75,41.25,50.5,20.25,72.5,66.75,-0.25
-315.25,-202.0,-235.25,-219.75,-204.5,-417.5,-243.5,-276.0,-202.5,-247.25,-234.75,-177.0
79.25,107.0,84.75,127.5,124.0,163.0,134.5,100.0,102.5,164.25,171.75,2.5
-330.0,-225.25,-267.25,-260.75,-231.5,-466.25,-257.0,-289.25,-235.75,-272.25,-265.25,-178.25
73.75,60.0,77.5,61.75,68.5,99.75,91.0,87.0,49.5,105.75,111.0,3.25
-307.75,-205.25,-244.0,-252.0,-208.25,-434.25,-237.0,-255.5,-225.5,-245.75,-249.75,-178.0
