T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-4.25,-37.25,-42.25,8.25,41.0
-215.5,-151.5,-119.0,-194.5,-272.25
21.25,16.25,15.75,36.75,69.25
-208.25,-130.25,-102.75,-195.5,-273.25
11.75,46.75,41.5,33.75,63.25
-190.0,-125.75,-121.25,-185.5,-254.5
2.75,-4.0,4.25,20.75,41.0
-175.0,-79.75,-80.5,-158.0,-232.5
-9.0,-48.75,-44.0,-2.25,25.75
-167.75,-18.75,-39.0,-150.25,-220.25
-18.75,-70.0,-46.75,-2.5,21.5
-171.5,-7.0,-20.75,-156.5,-227.75
-15.0,-75.0,-46.5,6.5,36.0
-179.0,-53.0,-71.0,-165.5,-237.75
26.0,-5.0,45.75,52.75,70.25
-200.0,-97.25,-131.25,-199.25,-261.25
33.25,42.25,74.0,57.25,70.0
-198.75,-83.5,-125.5,-197.25,-252.75
18.75,14.0,50.0,42.5,56.25
-186.5,-85.5,-103.5,-174.25,-239.25
2.75,-67.5,-21.75,18.5,32.5
-169.0,-41.75,-88.0,-160.25,-230.75
-6.5,-98.75,-55.25,2.75,30.75
-172.25,12.75,-61.5,-155.25,-232.0
1.5,-72.25,-39.0,12.75,36.5
-189.25,-25.25,-85.75,-172.25,-239.75
10.5,-101.25,-55.0,18.5,46.0
-212.0,-79.75,-107.75,-185.5,-266.75
31.25,-25.25,10.25,43.75,73.25
-225.5,-116.5,-135.0,-193.75,-286.25
28.5,2.0,-18.75,14.75,74.5
-210.25,-100.75,-116.0,-165.5,-280.5
22.0,-11.25,-20.25,7.5,61.25
-166.25,-31.5,-36.25,-122.75,-225.5
12.0,-86.25,-56.0,-12.25,46.25
-164.75,16.75,0.75,-121.75,-211.5
7.5,-101.0,-83.0,-15.25,43.0
-170.25,47.25,15.5,-127.0,-220.0
21.0,-99.75,-81.5,0.75,55.5
-189.0,-4.75,-34.25,-151.75,-243.75
27.5,-87.75,-81.25,13.75,68.0
-212.0,-62.0,-79.0,-169.25,-265.0
29.5,-38.75,-27.5,26.75,79.75
-217.75,-88.25,-131.75,-192.0,-268.5
21.5,-25.0,-10.5,14.75,57.75
-196.5,-67.0,-102.25,-160.0,-239.25
6.75,-70.75,-61.5,3.25,32.75
-162.25,-41.25,-71.75,-144.5,-213.0
-23.5,-115.5,-112.0,-15.75,-3.5
-171.25,-21.0,-63.75,-155.5,-216.5
-19.25,-83.75,-99.25,-9.5,6.25
-179.25,-32.0,-68.5,-161.5,-228.25
-8.75,-93.25,-92.5,-0.5,21.5
-200.5,-111.0,-147.25,-190.0,-253.5
5.5,-37.75,-36.0,20.5,44.25
-211.25,-157.25,-190.75,-203.5,-264.75
12.0,42.25,9.75,31.5,55.0
-211.75,-150.75,-181.0,-205.25,-268.0
4.75,9.5,-7.75,14.5,46.0
-186.25,-141.25,-160.25,-176.0,-247.5
-28.75,-57.5,-39.0,-3.75,24.5
-163.5,-84.5,-115.0,-152.0,-224.5
-35.0,-49.5,-36.5,-13.5,16.0
-157.5,-51.5,-105.0,-149.0,-225.25
-20.5,-13.5,-21.5,-9.0,26.25
-174.75,-94.25,-132.75,-162.0,-246.75
-0.5,-14.0,-9.25,17.0,50.5
