T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-177.75,-109.5,-43.5,-157.75,-204.5
-182.75,-100.5,-32.25,-149.0,-199.25
-180.25,-67.25,-40.0,-150.5,-197.75
-198.0,-142.25,-109.75,-176.5,-222.0
-173.75,-131.5,-90.0,-156.5,-195.75
-196.75,-192.75,-125.25,-170.5,-227.5
-174.75,-133.5,-82.75,-148.0,-198.25
-171.75,-110.0,-80.25,-147.5,-191.75
-174.75,-73.25,-61.5,-157.75,-200.75
-178.25,-104.75,-79.0,-143.25,-198.75
-206.5,-139.25,-130.5,-174.0,-217.25
-192.5,-129.25,-115.75,-165.0,-205.5
-219.75,-188.75,-161.25,-186.25,-231.25
-194.25,-135.25,-103.25,-157.75,-203.0
-187.0,-114.0,-87.0,-158.75,-204.0
-196.5,-83.5,-61.25,-161.75,-210.0
-178.25,-79.0,-79.75,-151.75,-191.25
-187.25,-129.75,-117.0,-164.75,-213.5
-172.25,-83.75,-76.25,-137.25,-191.5
-184.0,-128.5,-124.5,-160.25,-206.75
-176.75,-67.5,-83.0,-152.5,-194.5
-186.5,-88.75,-85.75,-152.75,-198.75
-190.25,-77.0,-67.5,-159.0,-206.25
-186.5,-82.0,-67.25,-150.0,-191.75
-194.0,-128.0,-117.5,-159.0,-201.75
-153.0,-58.0,-25.25,-112.75,-167.5
-174.0,-102.25,-85.5,-146.5,-191.0
-166.75,-55.0,-57.25,-142.0,-191.25
-165.5,-41.25,-51.5,-140.0,-182.75
-180.0,-69.5,-75.5,-154.75,-196.5
-167.75,-71.5,-53.5,-131.75,-183.0
-183.75,-153.0,-125.25,-155.75,-206.75
-166.25,-109.25,-109.75,-141.75,-198.25
-175.5,-140.5,-143.25,-157.5,-200.0
-178.75,-86.0,-116.75,-152.5,-201.25
-170.75,-59.5,-100.5,-142.5,-195.5
-187.75,-97.5,-124.75,-159.5,-203.25
-178.75,-126.5,-140.75,-153.75,-193.75
-201.5,-181.0,-162.75,-167.0,-220.75
-180.75,-105.0,-97.5,-141.75,-193.5
-194.25,-141.75,-124.75,-150.0,-213.0
-197.0,-114.5,-153.75,-179.0,-211.75
-181.75,-98.75,-134.75,-150.75,-206.0
-188.25,-112.0,-136.25,-158.0,-219.25
-144.25,-42.75,-56.5,-115.25,-164.25
-154.25,-117.75,-92.25,-135.0,-179.25
-152.75,-69.5,-55.25,-134.0,-165.25
-157.25,-84.25,-82.25,-137.0,-168.5
-162.75,-53.75,-67.5,-142.25,-177.0
-149.25,-52.5,-66.0,-126.25,-164.5
-168.0,-104.5,-115.75,-151.0,-188.25
-161.5,-92.5,-115.5,-138.0,-175.75
-184.5,-149.75,-160.25,-155.5,-197.0
-182.5,-100.75,-106.5,-142.5,-185.25
-188.25,-127.0,-159.25,-165.25,-188.75
-196.25,-113.25,-142.25,-177.25,-210.75
-175.0,-92.0,-112.75,-145.25,-181.5
-189.75,-137.75,-163.75,-156.75,-206.5
-155.5,-112.0,-133.25,-141.25,-180.25
-185.75,-156.75,-183.75,-160.25,-216.5
-194.75,-136.5,-175.75,-171.25,-220.0
-190.5,-104.75,-163.0,-165.0,-210.25
-198.5,-115.75,-167.75,-171.0,-222.0
-188.0,-125.25,-161.0,-162.0,-206.75
-209.25,-204.25,-239.75,-190.5,-232.0
-195.0,-148.75,-183.25,-169.5,-209.25
-205.75,-195.0,-226.75,-183.0,-220.5
-199.25,-115.0,-181.0,-172.0,-209.75
-199.75,-108.5,-171.25,-173.75,-213.0
-207.0,-141.25,-188.75,-190.75,-222.0
-181.5,-131.75,-168.0,-161.5,-201.5
-215.0,-198.75,-199.25,-179.75,-223.0
-192.25,-142.0,-154.0,-155.75,-200.0
-198.5,-134.0,-151.5,-165.5,-208.5
-192.5,-101.0,-141.5,-162.5,-209.25
-178.0,-65.0,-126.5,-158.0,-199.0
