T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-204.25,-24.0,-126.75,-176.25,-229.75
30.0,18.75,105.75,40.0,45.0
-186.75,-19.75,-115.5,-155.75,-210.0
32.25,17.0,87.5,38.75,47.0
-217.0,-64.25,-194.25,-190.5,-249.5
70.0,130.0,173.25,79.25,84.25
-252.5,-73.75,-209.0,-229.75,-288.5
80.5,141.0,165.25,92.25,96.0
-249.0,-46.25,-219.5,-220.0,-282.75
37.75,94.75,82.75,47.0,50.75
-214.75,7.5,-144.75,-187.25,-239.75
-1.5,-0.25,47.25,3.25,11.75
-223.25,-47.75,-193.25,-197.0,-251.25
8.5,50.25,50.5,14.25,19.0
-265.75,-69.25,-256.0,-241.75,-301.25
42.0,109.25,127.25,50.25,59.75
-285.75,-148.75,-278.5,-265.25,-319.5
47.75,37.75,80.25,53.0,64.75
-260.0,-79.75,-243.0,-235.75,-290.25
12.25,56.0,55.25,20.0,22.5
-213.25,19.5,-139.75,-184.25,-240.5
5.5,20.25,56.25,14.5,18.0
-210.0,-51.0,-187.0,-180.0,-237.5
46.5,40.75,116.75,55.5,62.75
-246.0,-141.75,-211.0,-221.5,-279.25
76.75,62.25,184.5,87.25,96.0
-259.5,-179.5,-231.75,-234.25,-290.5
64.25,15.0,105.5,73.75,83.25
-218.25,-66.75,-169.5,-193.5,-245.25
29.75,-10.25,93.0,34.25,44.0
-189.5,-66.75,-112.25,-163.5,-216.25
23.25,-40.0,77.0,26.0,30.75
-214.25,-100.25,-185.0,-190.0,-246.75
56.75,65.25,144.5,66.5,73.25
-255.0,-115.25,-212.75,-233.0,-291.75
75.5,101.5,185.25,83.5,92.0
-261.25,-117.0,-223.5,-235.5,-294.5
42.5,49.75,102.0,52.0,55.25
-226.0,-29.0,-150.25,-195.5,-251.25
-2.0,7.5,55.75,8.0,11.5
-216.0,-14.75,-161.25,-188.5,-247.0
5.0,46.25,62.0,5.25,12.0
-251.25,-48.0,-225.75,-231.0,-284.75
42.0,106.5,139.5,47.75,61.75
-288.0,-143.0,-264.5,-266.5,-317.5
49.75,67.75,94.75,57.25,67.25
-269.75,-82.0,-257.0,-247.0,-303.75
16.0,67.75,53.0,22.75,30.75
-223.75,0.75,-155.75,-191.75,-244.5
-7.0,-5.25,46.25,6.0,11.75
-218.0,-53.25,-197.25,-185.75,-240.75
21.75,75.0,72.0,31.5,36.25
-254.0,-39.5,-229.5,-229.0,-284.5
66.5,154.25,170.5,74.75,91.5
-268.75,-105.5,-233.75,-244.75,-296.0
64.0,62.75,120.5,74.0,84.75
-234.5,-74.75,-192.25,-209.0,-260.75
25.25,18.25,89.25,31.5,39.0
-197.5,-32.5,-113.25,-171.5,-225.25
18.0,-30.5,74.75,19.5,26.75
-206.25,-84.75,-172.25,-180.75,-236.5
47.75,39.0,127.5,57.25,65.25
-254.75,-134.25,-206.5,-229.5,-285.5
71.75,84.0,193.75,81.25,90.75
-272.75,-150.5,-231.5,-250.0,-308.0
39.75,32.25,111.25,47.5,53.5
-245.5,-71.5,-185.25,-222.25,-271.75
-9.75,-2.5,59.25,-8.75,5.25
-225.0,-14.0,-132.75,-206.0,-253.25
-14.0,18.0,53.25,-19.25,-7.25
-254.25,-68.0,-216.5,-236.0,-286.0
22.5,55.0,112.5,28.5,42.25
-299.75,-153.75,-277.75,-279.5,-330.5
38.5,91.75,113.75,40.0,56.5
-294.75,-92.25,-263.5,-277.25,-329.25
6.5,62.75,60.75,8.75,23.5
-249.0,-50.25,-191.75,-221.75,-265.0
-28.0,-39.5,19.75,-18.0,-3.75
-237.5,-50.0,-191.5,-208.75,-255.75
-12.75,48.5,58.75,-7.5,6.25
-265.5,-60.25,-234.0,-242.25,-292.25
43.0,115.5,144.0,54.25,71.0
-285.0,-135.75,-262.25,-259.0,-307.25
60.75,54.25,95.0,70.25,82.5
-254.75,-59.5,-226.75,-230.25,-281.5
30.25,85.75,81.0,34.0,49.25
-196.5,11.75,-130.25,-170.75,-217.25
16.5,18.75,67.25,21.0,34.25
-197.75,-31.0,-183.75,-174.5,-221.75
42.75,67.25,96.0,45.75,59.25
-243.0,-80.25,-213.75,-218.75,-270.75
78.25,115.0,181.75,88.25,102.5
-259.75,-153.0,-233.25,-237.75,-292.0
69.75,34.25,121.5,80.5,88.5
-228.0,-84.25,-188.0,-198.5,-253.0
27.75,-14.75,89.75,37.25,47.0
-194.25,-69.25,-102.25,-163.75,-212.0
13.0,-53.75,75.75,18.25,27.5
-212.0,-105.25,-176.25,-189.5,-242.0
46.5,37.5,119.25,52.5,66.5
-259.25,-159.5,-216.0,-234.75,-286.25
74.75,42.5,205.25,79.75,99.0
-268.75,-175.25,-207.25,-253.0,-296.75
50.25,18.5,124.5,52.5,67.5
-222.25,-51.5,-146.5,-198.75,-245.25
11.25,-2.0,65.25,20.0,34.0
-192.0,-34.0,-139.25,-159.75,-211.25
28.25,18.5,99.75,37.5,44.75
-207.5,-30.75,-168.0,-176.75,-233.5
86.0,137.5,192.75,102.0,107.0
-233.0,-96.0,-177.0,-204.5,-263.0
106.25,110.25,195.25,118.75,130.5
-223.5,-82.5,-173.5,-198.5,-249.75
76.25,84.0,145.5,83.5,96.5
-178.75,35.75,-87.25,-148.75,-194.0
38.5,64.5,118.0,47.25,58.5
-170.0,24.75,-107.75,-141.5,-195.5
50.75,108.25,120.0,60.5,68.5
-211.5,-1.75,-179.25,-180.5,-235.0
97.75,167.5,201.75,113.0,123.75
-243.25,-82.75,-214.75,-215.25,-272.75
94.0,107.25,152.0,103.5,109.25
-222.5,-40.0,-185.25,-198.5,-257.25
46.0,69.5,96.5,53.75,60.25
-187.25,-4.25,-123.25,-156.75,-207.0
21.0,-1.75,71.0,30.0,37.75
-193.25,-50.25,-165.0,-161.5,-220.25
55.0,60.75,123.0,68.0,72.25
-228.5,-105.0,-201.0,-196.5,-253.5
99.0,93.25,196.25,122.25,129.0
-244.0,-149.25,-211.25,-207.5,-270.25
83.75,44.5,147.25,100.0,103.0
-212.0,-70.0,-156.75,-182.0,-235.75
32.25,-1.0,117.5,37.5,50.25
-195.25,-45.25,-82.5,-173.25,-215.25
-5.75,-39.5,82.25,-5.75,12.5
-240.5,-107.75,-190.75,-219.25,-267.75
23.75,25.75,111.25,27.5,45.75
-289.0,-167.5,-270.5,-267.25,-311.75
62.25,85.75,146.0,70.25,86.25
-265.25,-100.25,-222.0,-244.25,-299.0
53.25,78.25,119.75,60.75,70.0
-203.5,-7.0,-132.25,-173.0,-225.75
29.25,15.75,106.25,42.5,49.25
-178.5,-18.75,-94.75,-147.0,-196.0
41.25,58.0,136.5,46.75,59.25
-197.25,-15.75,-139.0,-172.75,-225.0
97.75,144.75,222.5,105.0,122.75
-233.75,-80.75,-177.25,-208.5,-256.75
