T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
1.0,205.0,215.5,21.75,-100.0
-175.0,-363.5,-403.75,-221.25,-123.75
-14.75,167.5,206.5,24.25,-108.25
-146.75,-307.0,-361.75,-205.75,-101.75
-31.5,140.5,158.25,12.25,-128.0
-162.5,-233.25,-321.5,-219.0,-109.0
-17.5,122.75,162.25,29.5,-120.25
-184.75,-260.75,-338.75,-245.25,-137.0
3.0,146.75,175.75,59.0,-88.5
-226.25,-381.5,-426.25,-284.5,-176.0
20.25,212.75,230.25,80.0,-64.75
-211.75,-355.75,-400.75,-274.75,-164.75
25.75,268.75,280.0,83.75,-61.5
-210.0,-351.5,-405.0,-269.75,-161.0
13.0,220.25,246.75,63.75,-69.5
-181.75,-313.0,-378.5,-245.0,-134.75
-16.0,155.25,192.0,48.25,-102.5
-170.25,-251.25,-315.75,-228.75,-105.25
-34.0,128.5,155.75,30.75,-123.25
-177.0,-228.5,-286.0,-230.75,-110.75
-12.75,152.25,160.0,45.5,-99.5
-190.75,-295.25,-327.0,-235.25,-133.25
19.5,207.5,222.5,63.5,-59.25
-216.25,-334.0,-366.75,-250.25,-156.0
22.25,270.0,281.0,71.25,-55.25
-195.75,-300.5,-321.75,-239.25,-141.0
15.0,255.5,259.25,67.25,-71.5
-187.0,-325.0,-345.25,-236.0,-132.0
-13.75,160.0,156.5,27.75,-97.0
-144.0,-244.75,-266.75,-189.0,-92.25
-19.5,151.5,139.5,18.75,-115.5
-146.75,-177.0,-212.25,-182.25,-87.75
-14.75,122.75,111.25,1.75,-116.0
-174.75,-229.25,-256.0,-209.75,-109.25
24.25,172.0,160.75,49.5,-67.5
-180.5,-307.75,-308.5,-223.5,-140.5
44.25,237.75,232.25,61.5,-37.0
-184.75,-327.25,-329.75,-230.5,-154.75
46.5,316.75,285.5,77.5,-41.0
-181.0,-312.25,-319.5,-226.75,-134.5
31.25,256.5,239.5,62.25,-62.0
-165.25,-294.75,-299.75,-206.0,-118.0
14.0,198.75,187.0,37.0,-80.5
-171.0,-279.5,-292.5,-198.0,-119.25
-4.5,168.25,157.0,13.0,-102.75
-126.25,-183.25,-198.75,-168.25,-73.5
0.75,194.0,181.0,43.0,-83.0
-158.25,-264.0,-264.0,-205.0,-104.75
22.0,218.25,207.75,71.0,-52.25
-181.25,-293.0,-299.5,-223.75,-131.25
57.0,321.75,303.75,100.75,-17.75
-168.75,-277.0,-272.5,-210.5,-123.0
9.25,270.0,251.0,57.75,-70.5
-148.75,-293.25,-296.75,-202.25,-105.75
-26.25,168.5,169.25,29.0,-107.25
-111.5,-240.0,-245.5,-162.25,-61.75
-28.0,188.5,161.25,19.75,-117.0
-135.0,-210.0,-235.25,-172.75,-85.0
-7.5,234.75,228.0,51.25,-86.0
-154.25,-251.0,-278.0,-206.25,-107.75
-5.75,189.5,201.25,65.25,-84.5
-171.0,-320.0,-340.5,-217.25,-116.5
19.25,255.25,245.75,75.25,-61.5
-194.0,-264.25,-310.0,-215.75,-141.75
35.5,245.0,248.0,85.25,-44.0
-265.75,-425.75,-475.0,-293.5,-221.0
409.5,571.75,646.5,468.75,61.75
-348.75,-518.5,-655.75,-452.0,-223.75
341.5,549.0,648.25,458.0,63.5
-427.75,-581.5,-678.75,-520.25,-233.0
360.25,483.0,617.75,452.25,65.5
-474.0,-561.25,-713.75,-553.0,-225.0
475.0,547.0,689.5,529.75,60.5
-390.0,-489.5,-607.25,-441.25,-223.75
493.5,539.5,661.25,510.25,61.0
-460.75,-458.75,-589.0,-449.0,-216.5
423.25,443.0,575.75,418.5,47.75
-400.25,-455.0,-574.25,-386.25,-207.5
375.5,356.25,462.5,309.75,52.75
-455.0,-444.25,-539.75,-407.0,-215.75
480.0,494.25,613.5,449.25,57.25
-473.75,-496.25,-582.75,-469.5,-223.0
524.25,503.25,628.75,479.25,61.25
-559.25,-471.25,-610.5,-480.5,-225.25
641.5,534.0,698.0,563.0,63.75
-626.25,-449.5,-658.75,-535.75,-221.25
496.5,420.25,645.0,516.5,54.25
-518.25,-430.25,-653.5,-516.75,-221.0
505.25,351.0,620.0,525.5,48.75
-440.25,-363.0,-605.5,-508.25,-221.0
338.25,316.5,539.0,417.75,42.0
-354.5,-324.0,-571.25,-467.0,-215.25
457.25,442.0,722.5,609.75,45.5
-482.25,-402.25,-762.0,-657.75,-221.5
416.5,375.75,741.0,631.5,55.25
